Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Atkinson, R.","7402373001","Project management: Cost, time and quality, two best guesses and a phenomenon, its time to accept other success criteria",1999,"International Journal of Project Management",17,"6",,337,342,,1131,10.1016/S0263-7863(98)00069-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0032595622&partnerID=40&md5=8d88aef39cb98744c60aeb041af285f6",Article,Final,"",Scopus,2-s2.0-0032595622
"Coombs, W.T.","36612773900","Protecting Organization Reputations During a Crisis: The Development and Application of Situational Crisis Communication Theory",2007,"Corporate Reputation Review",10,"3",,163,176,,910,10.1057/palgrave.crr.1550049,"https://www.scopus.com/inward/record.url?eid=2-s2.0-48049109502&partnerID=40&md5=69c0f625adf1ab880c05f0aee3d899d8",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-48049109502
"Pache, A.-C., Santos, F.","36020328900; 36947013200","Inside the hybrid organization: Selective coupling as a response to competing institutional logics",2013,"Academy of Management Journal",56,"4",,972,1001,,870,10.5465/amj.2011.0405,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84885006005&partnerID=40&md5=874f2cc4f476a394e838a90a72f3cb36",Article,Final,"",Scopus,2-s2.0-84885006005
"Shenhar, A.J., Dvir, D., Levy, O., Maltz, A.C.","7003783316; 6602127993; 35970895200; 7004461921","Project success: A multidimensional strategic concept",2001,"Long Range Planning",34,"6",,699,725,,599,10.1016/S0024-6301(01)00097-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0035735411&partnerID=40&md5=16bfdd56c1668b48f4ed25a1f0c204d7",Article,Final,"",Scopus,2-s2.0-0035735411
"Griffin, A., Page, A.L.","35605467600; 24424923300","PDMA success measurement project: Recommended measures for product development success and failure",1996,"Journal of Product Innovation Management",13,"6",,478,496,,560,10.1016/S0737-6782(96)00052-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0030287511&partnerID=40&md5=2b3eeb495e1cc85a361ee7a2018adebf",Article,Final,"",Scopus,2-s2.0-0030287511
"Kirsch, L.J.","7005939498","Portfolios of Control Modes and IS Project Management",1997,"Information Systems Research",8,"3",,215,239,,481,10.1287/isre.8.3.215,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0031500151&partnerID=40&md5=5e8872b4d65690a1171a05113577691a",Article,Final,"",Scopus,2-s2.0-0031500151
"Zou, P.X.W., Zhang, G., Wang, J.","7006775603; 56170403700; 14039805700","Understanding the key risks in construction projects in China",2007,"International Journal of Project Management",25,"6",,601,614,,455,10.1016/j.ijproman.2007.03.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34447566136&partnerID=40&md5=9c1fc447d37a4b173fed317e3cbe0432",Article,Final,"",Scopus,2-s2.0-34447566136
"de Wit, A.","24396296200","Measurement of project success",1988,"International Journal of Project Management",6,"3",,164,170,,454,10.1016/0263-7863(88)90043-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33749569777&partnerID=40&md5=3787cb60f955871e45043b2b5925bc60",Article,Final,"",Scopus,2-s2.0-33749569777
"Aas, C., Ladkin, A., Fletcher, J.","57258581000; 6603266888; 55701247700","Stakeholder collaboration and heritage management",2005,"Annals of Tourism Research",32,"1",,28,48,,411,10.1016/j.annals.2004.04.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-14544305549&partnerID=40&md5=e4a51482bfd7ce34d8cb28235837876f",Article,Final,"All Open Access, Green",Scopus,2-s2.0-14544305549
"Bos-Brouwers, H.E.J.","24079802600","Corporate sustainability and innovation in SMEs: Evidence of themes and activities in practice",2010,"Business Strategy and the Environment",19,"7",,417,435,,363,10.1002/bse.652,"https://www.scopus.com/inward/record.url?eid=2-s2.0-78650483150&partnerID=40&md5=167a501ea227b14e53c6e4d8d24227b5",Article,Final,"",Scopus,2-s2.0-78650483150
"Azhar, S., Khalfan, M., Maqsood, T.","57222267904; 12752727300; 15751244600","Building information modeling (BIM): Now and beyond",2012,"Australasian Journal of Construction Economics and Building",12,"4",,15,28,,324,10.5130/ajceb.v12i4.3032,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84870925948&partnerID=40&md5=ad5fc186c15d3dc45484fc8c8465f375",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84870925948
"Leach, W.D., Pelkey, N.W., Sabatier, P.A.","7006185891; 6603236473; 7006450494","Stakeholder Partnerships as Collaborative Policymaking: Evaluation Criteria Applied to Watershed Management in California and Washington",2002,"Journal of Policy Analysis and Management",21,"4",,645,670,,321,10.1002/pam.10079,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0038300412&partnerID=40&md5=dc1967ba6a1fbca55dd5b0f2e39c9317",Review,Final,"",Scopus,2-s2.0-0038300412
"Zavadskas, E.K., Turskis, Z., Tamošaitiene, J.","6602254601; 11139054200; 24399886400","Risk assessment of construction projects",2010,"Journal of Civil Engineering and Management",16,"1",,33,46,,310,10.3846/jcem.2010.03,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77950264952&partnerID=40&md5=9a9d88671fdab0ffea8534914d43a3cf",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-77950264952
"Kirsch, L.J.","7005939498","Deploying common systems globally: The dynamics of control",2004,"Information Systems Research",15,"4",,374,395,,301,10.1287/isre.1040.0036,"https://www.scopus.com/inward/record.url?eid=2-s2.0-13244253851&partnerID=40&md5=edb7ef653198e18d782789a7c00c820e",Review,Final,"",Scopus,2-s2.0-13244253851
"Vesper, K.H., Gartner, W.B.","6506080944; 7006584466","Measuring progress in entrepreneurship education",1997,"Journal of Business Venturing",12,"5",,403,421,,301,10.1016/S0883-9026(97)00009-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0031232134&partnerID=40&md5=c6edb5f838915985da1879b360b2b7a2",Note,Final,"",Scopus,2-s2.0-0031232134
"Koplin, J., Seuring, S., Mesterharm, M.","16032920800; 6602271726; 6506409273","Incorporating sustainability into supply management in the automotive industry - the case of the Volkswagen AG",2007,"Journal of Cleaner Production",15,"11-12",,1053,1062,,297,10.1016/j.jclepro.2006.05.024,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33847769108&partnerID=40&md5=90535d28741b6cce204fe41ca44ab31b",Article,Final,"",Scopus,2-s2.0-33847769108
"Toor, S.-u.-R., Ogunlana, S.O.","35616922300; 6701638480","Beyond the 'iron triangle': Stakeholder perception of key performance indicators (KPIs) for large-scale public sector development projects",2010,"International Journal of Project Management",28,"3",,228,236,,288,10.1016/j.ijproman.2009.05.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-76749158500&partnerID=40&md5=2957d7d553b7fc5e115fe7c0c5335f56",Article,Final,"",Scopus,2-s2.0-76749158500
"Olander, S., Landin, A.","16176071500; 13805162200","Evaluation of stakeholder influence in the implementation of construction projects",2005,"International Journal of Project Management",23,"4",,321,328,,278,10.1016/j.ijproman.2005.02.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-18144403769&partnerID=40&md5=c12e8636810b1df8b23d0fd3aedb822c",Article,Final,"",Scopus,2-s2.0-18144403769
"Wateridge, J.","6602223274","How can IS/IT projects be measured for success?",1998,"International Journal of Project Management",16,"1",,59,63,,273,10.1016/S0263-7863(97)00022-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0031996797&partnerID=40&md5=fa556c343dbd042e6a868d14c5134399",Article,Final,"",Scopus,2-s2.0-0031996797
"Qi, G.Y., Shen, L.Y., Zeng, S.X., Jorge, O.J.","36905220000; 7401704702; 55894067400; 35222256200","The drivers for contractors' green innovation: An industry perspective",2010,"Journal of Cleaner Production",18,"14",,1358,1365,,249,10.1016/j.jclepro.2010.04.017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77955552927&partnerID=40&md5=60a264c9763732ef2bf7a120bad12b6f",Article,Final,"",Scopus,2-s2.0-77955552927
"Mok, K.Y., Shen, G.Q., Yang, J.","56442148800; 7402933134; 55917207400","Stakeholder management studies in mega construction projects: A review and future directions",2015,"International Journal of Project Management",33,"2",,446,457,,243,10.1016/j.ijproman.2014.08.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84916608675&partnerID=40&md5=f9850a039a474561c16eb926dc9c7ad4",Article,Final,"",Scopus,2-s2.0-84916608675
"Bourne, L., Walker, D.H.T.","8861863900; 35585925400","Visualising and mapping stakeholder influence",2005,"Management Decision",43,"5",,649,660,,234,10.1108/00251740510597680,"https://www.scopus.com/inward/record.url?eid=2-s2.0-20444441536&partnerID=40&md5=3712dd07407b09cf04b9d5ce885149d3",Article,Final,"",Scopus,2-s2.0-20444441536
"Levina, N.","8779298100","Collaborating on multiparty information systems development projects: A collective reflection-in-action view",2005,"Information Systems Research",16,"2",,109,130,,230,10.1287/isre.1050.0055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-30344431785&partnerID=40&md5=6c5d7eee8f367190bc239fbe72781e4e",Article,Final,"All Open Access, Green",Scopus,2-s2.0-30344431785
"Guinan, P.J., Cooprider, J.G., Faraj, S.","7102296819; 6603315386; 6603586075","Enabling Software Development Team Performance during Requirements Definition: A Behavioral Versus Technical Approach",1998,"Information Systems Research",9,"2",,101,125,,228,10.1287/isre.9.2.101,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0032339038&partnerID=40&md5=6758ef0537012fd22443e5cb8aa87f34",Article,Final,"",Scopus,2-s2.0-0032339038
"Gregory, Robin, Keeney, Ralph L.","7402331899; 7007152638","Creating policy alternatives using stakeholder values",1994,"Management Science",40,"8",,1035,1038,,227,10.1287/mnsc.40.8.1035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0028481089&partnerID=40&md5=3f62e9e7e59a308a211fbf23701dff2d",Article,Final,"",Scopus,2-s2.0-0028481089
"Olander, S.","16176071500","Stakeholder impact analysis in construction project management",2007,"Construction Management and Economics",25,"3",,277,287,,224,10.1080/01446190600879125,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34047161918&partnerID=40&md5=64b520d44455263d209f37a58b3be784",Article,Final,"",Scopus,2-s2.0-34047161918
"Serrador, P., Pinto, J.K.","56536996500; 7402584749","Does Agile work? - A quantitative analysis of agile project success",2015,"International Journal of Project Management",33,"5",,1040,1051,,223,10.1016/j.ijproman.2015.01.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84929507064&partnerID=40&md5=4a1866d33c395d3ad52c6e02049d04e0",Article,Final,"",Scopus,2-s2.0-84929507064
"Shen, L.-y., Tam, V.W.Y., Tam, L., Ji, Y.-b.","7401704702; 7005091994; 30567787900; 35728744400","Project feasibility study: the key to successful implementation of sustainable and socially responsible construction management practice",2010,"Journal of Cleaner Production",18,"3",,254,259,,222,10.1016/j.jclepro.2009.10.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70649086974&partnerID=40&md5=500b4296f4a7611ba761ef8ef00fc019",Article,Final,"",Scopus,2-s2.0-70649086974
"Davis, K.","57197331160","Different stakeholder groups and their perceptions of project success",2014,"International Journal of Project Management",32,"2",,189,201,,221,10.1016/j.ijproman.2013.02.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84890221721&partnerID=40&md5=5efc42e66d24b850e55856e91fb1a5e1",Article,Final,"",Scopus,2-s2.0-84890221721
"El-Gohary, N.M., Osman, H., El-Diraby, T.E.","14519146500; 7005733154; 6506333096","Stakeholder management for public private partnerships",2006,"International Journal of Project Management",24,"7",,595,604,,221,10.1016/j.ijproman.2006.07.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33748475041&partnerID=40&md5=5860181d074d18be0cf48ed7f29af3fe",Article,Final,"",Scopus,2-s2.0-33748475041
"Nguyen, L.D., Ogunlana, S.O., Lan, D.T.X.","8617693100; 6701638480; 7003816143","A study on project success factors in large construction projects in Vietnam",2004,"Engineering, Construction and Architectural Management",11,"6",,404,413,,216,10.1108/09699980410570166,"https://www.scopus.com/inward/record.url?eid=2-s2.0-9144224919&partnerID=40&md5=84116443e765d43f2cb63ac19a2fb5b1",Review,Final,"",Scopus,2-s2.0-9144224919
"Clegg, S.R., Pitsis, T.S., Rura-Polley, T., Marosszeky, M.","7101683003; 6507849130; 7801656923; 6602849792","Governmentality Matters: Designing an Alliance Culture of Inter-organizational Collaboration for Managing Projects",2002,"Organization Studies",23,"3",,317,337,,214,10.1177/0170840602233001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0141532080&partnerID=40&md5=5877708d4d5840a4c0caa7ea950de436",Review,Final,"All Open Access, Green",Scopus,2-s2.0-0141532080
"Pinto, J.K., Slevin, D.P., English, B.","7402584749; 6603094038; 25638551000","Trust in projects: An empirical assessment of owner/contractor relationships",2009,"International Journal of Project Management",27,"6",,638,648,,209,10.1016/j.ijproman.2008.09.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-67349240108&partnerID=40&md5=6b76e83cc962e160529906c00697af7a",Article,Final,"",Scopus,2-s2.0-67349240108
"Lycett, M., Rassau, A., Danson, J.","6603170123; 57213005480; 55309859300","Programme management: A critical review",2004,"International Journal of Project Management",22,"4",,289,299,,209,10.1016/j.ijproman.2003.06.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1642487670&partnerID=40&md5=6fb21ee37847cc71e216a3b1f445a3da",Article,Final,"",Scopus,2-s2.0-1642487670
"Newcombe, R.","35402163300","From client to project stakeholders: A stakeholder mapping approach",2003,"Construction Management and Economics",21,"8",,841,848,,205,10.1080/0144619032000072137,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1642489033&partnerID=40&md5=10d66a190e91a47c7e8e71b4da46f91e",Article,Final,"",Scopus,2-s2.0-1642489033
"Lam, W.","24344274800","Barriers to e-government integration",2005,"Journal of Enterprise Information Management",18,"5",,511,530,,204,10.1108/17410390510623981,"https://www.scopus.com/inward/record.url?eid=2-s2.0-25444525684&partnerID=40&md5=1d744e3d14d65dbbf60ac3fe53bd53cd",Review,Final,"",Scopus,2-s2.0-25444525684
"Mollick, E., Nanda, R.","8683215400; 34868517100","Wisdom or madness? Comparing crowds with expert evaluation in funding the arts",2016,"Management Science",62,"6",,1533,1553,,201,10.1287/mnsc.2015.2207,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975132881&partnerID=40&md5=40c1929dc2a2dfd9a088a7a68f74a05f",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84975132881
"Agarwal, N., Rathod, U.","36852945100; 13407940200","Defining 'success' for software projects: An exploratory revelation",2006,"International Journal of Project Management",24,"4",,358,370,,196,10.1016/j.ijproman.2005.11.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33646478288&partnerID=40&md5=ce1b370959341d9975a0e07cdc2dd32a",Article,Final,"",Scopus,2-s2.0-33646478288
"Yang, L.-R., Huang, C.-F., Wu, K.-S.","8929220700; 16549338000; 7404512553","The association among project manager's leadership style, teamwork and project success",2011,"International Journal of Project Management",29,"3",,258,267,,195,10.1016/j.ijproman.2010.03.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79651474791&partnerID=40&md5=78e047f65cf0cac016aa0ba783284857",Article,Final,"",Scopus,2-s2.0-79651474791
"Sheppard, S.R.J., Shaw, A., Flanders, D., Burch, S., Wiek, A., Carmichael, J., Robinson, J., Cohen, S.","7101928402; 56375618200; 24334423000; 15062419900; 8583970000; 7102381091; 7405864912; 57205496947","Future visioning of local climate change: A framework for community engagement and planning with scenarios and visualisation",2011,"Futures",43,"4",,400,412,,194,10.1016/j.futures.2011.01.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79953162332&partnerID=40&md5=628d19e60a0dc8bbf572a0cecc3940d2",Article,Final,"",Scopus,2-s2.0-79953162332
"Mohanty, R.P., Agarwal, R., Choudhury, A.K., Tiwari, M.K.","7102378823; 55429951400; 57196897312; 35427952100","A fuzzy ANP-based approach to R&amp;D project selection: A case study",2005,"International Journal of Production Research",43,"24",,5199,5216,,194,10.1080/00207540500219031,"https://www.scopus.com/inward/record.url?eid=2-s2.0-29344463293&partnerID=40&md5=aba0f91df59a074c8fb7665506586edb",Review,Final,"",Scopus,2-s2.0-29344463293
"Yuan, J., Zeng, A.Y., Skibniewski, M.J., Li, Q.","27268083300; 27268093600; 7004024216; 7405857869","Selection of performance objectives and key performance indicators in public-private partnership projects to achieve value for money",2009,"Construction Management and Economics",27,"3",,253,270,,190,10.1080/01446190902748705,"https://www.scopus.com/inward/record.url?eid=2-s2.0-67650333887&partnerID=40&md5=f6f73153b61144acabe2e4846dc4bc82",Article,Final,"",Scopus,2-s2.0-67650333887
"Ben-Amar, W., Chang, M., McIlkenny, P.","13612561000; 25626229900; 34771726400","Board Gender Diversity and Corporate Response to Sustainability Initiatives: Evidence from the Carbon Disclosure Project",2017,"Journal of Business Ethics",142,"2",,369,383,,188,10.1007/s10551-015-2759-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019096582&partnerID=40&md5=2e9faebbfab15f469ccb907a6aa5022a",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85019096582
"Sarker, S., Sarker, S.","7102953240; 35611469700","Exploring agility in distributed information systems development teams: An interpretive study in an offshoring context",2009,"Information Systems Research",20,"3",,440,461,,188,10.1287/isre.1090.0241,"https://www.scopus.com/inward/record.url?eid=2-s2.0-76949108035&partnerID=40&md5=99870ab9924f6b8d68930e19902629a8",Article,Final,"",Scopus,2-s2.0-76949108035
"Recker, J.","14016490200","Opportunities and constraints: The current struggle with BPMN",2010,"Business Process Management Journal",16,"1",,181,201,,183,10.1108/14637151011018001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-73149121321&partnerID=40&md5=7123dacc505dccd47fbca067736dd1d2",Article,Final,"All Open Access, Green",Scopus,2-s2.0-73149121321
"Zayed, T., Amer, M., Pan, J.","6602677808; 57197511117; 14629248900","Assessing risk and uncertainty inherent in Chinese highway projects using AHP",2008,"International Journal of Project Management",26,"4",,408,419,,183,10.1016/j.ijproman.2007.05.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-44049083501&partnerID=40&md5=b7f7530738d13846262a8afef37dac3d",Article,Final,"",Scopus,2-s2.0-44049083501
"El Asmar, M., Hanna, A.S., Loh, W.-Y.","34868168700; 7103318488; 7102037478","Quantifying performance for the integrated project delivery system as compared to established delivery systems",2013,"Journal of Construction Engineering and Management",139,"11", 4013012,,,,178,10.1061/(ASCE)CO.1943-7862.0000744,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84886568744&partnerID=40&md5=19dac2e2f5560156e5726eb966f927b6",Article,Final,"",Scopus,2-s2.0-84886568744
"Banerjee, S.B.","7404545456","Whose land is it anyway? National interest, indigenous stakeholders, and colonial discourses: The case of the Jabiluka uranium mine",2000,"Organization and Environment",13,"1",,3,38,,178,10.1177/1086026600131001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0034028283&partnerID=40&md5=93468a92fcca1343cb68f0d4073a23b1",Article,Final,"",Scopus,2-s2.0-0034028283
"Turner, R., Zolin, R.","7404250149; 24773964100","Forecasting success on large projects: Developing reliable scales to predict multiple perspectives by multiple stakeholders over multiple time frames",2012,"Project Management Journal",43,"5",,87,99,,173,10.1002/pmj.21289,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84866648156&partnerID=40&md5=1347fdc77936879d59a79358f00862cf",Review,Final,"",Scopus,2-s2.0-84866648156
"Renou, S., Thomas, J.S., Aoustin, E., Pons, M.N.","57194338957; 55493192800; 23466412300; 55580668400","Influence of impact assessment methods in wastewater treatment LCA",2008,"Journal of Cleaner Production",16,"10",,1098,1105,,171,10.1016/j.jclepro.2007.06.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-42149179192&partnerID=40&md5=e25346d7a424b30acbf810c06c681b7d",Article,Final,"",Scopus,2-s2.0-42149179192
"Bresciani, S., Ferraris, A., Del Giudice, M.","57202348256; 56168763600; 54412034700","The management of organizational ambidexterity through alliances in a new context of analysis: Internet of Things (IoT) smart city projects",2018,"Technological Forecasting and Social Change",136,"",,331,338,,170,10.1016/j.techfore.2017.03.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014833138&partnerID=40&md5=00902151b480f2bbf4b3a7d6e6282bf8",Article,Final,"",Scopus,2-s2.0-85014833138
"Shen, L.-Y., Platten, A., Deng, X.P.","7401704702; 6603151903; 23388169700","Role of public private partnerships to manage risks in public sector projects in Hong Kong",2006,"International Journal of Project Management",24,"7",,587,594,,170,10.1016/j.ijproman.2006.07.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33748599578&partnerID=40&md5=367262101eb0a0f9839ea7c545f98f48",Article,Final,"",Scopus,2-s2.0-33748599578
"Weinhofer, G., Hoffmann, V.H.","8698971900; 35242262600","Mitigating climate change - How do corporate strategies differ?",2010,"Business Strategy and the Environment",19,"2",,77,89,,169,10.1002/bse.618,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77953580243&partnerID=40&md5=f934d4dfdc930a378fb35c70f828d350",Article,Final,"",Scopus,2-s2.0-77953580243
"de Bakker, K., Boonstra, A., Wortmann, H.","32067691700; 7005315943; 6603291809","Does risk management contribute to IT project success? A meta-analysis of empirical evidence",2010,"International Journal of Project Management",28,"5",,493,503,,168,10.1016/j.ijproman.2009.07.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77952584858&partnerID=40&md5=87e80422288b3d35f1d2e533a28ae871",Article,Final,"",Scopus,2-s2.0-77952584858
"Jepsen, A.L., Eskerod, P.","8652835900; 9250843500","Stakeholder analysis in projects: Challenges in using current guidelines in the real world",2009,"International Journal of Project Management",27,"4",,335,343,,161,10.1016/j.ijproman.2008.04.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-64049118603&partnerID=40&md5=608d0f73d48451f1f9fb1f24f4cf08cf",Article,Final,"",Scopus,2-s2.0-64049118603
"Foster, W., Bradach, J.","57214509043; 6506398063","Should nonprofits seek profits?",2005,"Harvard Business Review",83,"2",,92,100+148,,160,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-19744383802&partnerID=40&md5=9728092c8c83a2aba903c7ec98bf9dbb",Review,Final,"",Scopus,2-s2.0-19744383802
